accession,organism_name,organism_tidy_name,country,isolation_source,genome_size,cell_type,temp_cat,classic,hybrid,unorthodox,h_pt,his_ka,che_a,ntr_c,prr_a,omp_r,nar_l,cy_c_c,lyt_tr,spo0a,yes_n,che_b,rpf_g,che_v,rsb_u,ami_r_nas_r,ple_d_vie_a,ple_d,vie_a,cit_t,che_y,csr_a,ycb_b,pil_b,lys_r,ars_r,frz_z,sarp,mer_r,bet_r,alp_a,hxl_r,xre,che_c,trx_b,lmb_e,wca_a,pgl_z,vie_b,hal_x,icl_r,unclassified
GCF_000332295.1,Fortiea contorta PCC 7126,Fortiea_contorta_PCC_7126,USA,freshwater aquarium,5742264,filament,temperate,50,27,2,0,2,3,0,0,15,10,0,0,0,1,0,1,0,2,0,1,2,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
GCF_000332315.1,Prochlorothrix hollandica PCC 9006 = CALU 1027,Prochlorothrix_hollandica_PCC_9006_=_CALU_1027,Netherlands,Water; lake; Lake Loosdrecht; The Netherlands,5646343,filament,temperate,33,15,0,4,1,5,0,0,11,6,4,0,0,0,1,0,0,2,0,2,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
GCF_000340565.2,Nodularia spumigena CCY9414,Nodularia_spumigena_CCY9414,Denmark: Bornholm,brackish water from the Baltic Sea,5462271,filament,temperate,27,13,1,1,3,3,0,0,10,6,0,0,0,2,0,1,0,2,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
GCF_000484535.1,Gloeobacter kilaueensis JS1,Gloeobacter_kilaueensis_JS1,USA: Hawaii,cave entrance,4724791,single,temperate,39,14,0,0,1,0,0,0,17,15,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
GCA_000708525.1,Cyanobium sp. CACIAM 14,Cyanobium_sp__CACIAM_14,Brazil,5 liters of water from the Tucurui Power Plant Reservoir; point M5 collected 50cm beneath the lake surface; then filtered by negative pressure for posterior culture in BG-11 medium,3212489,single,temperate,12,2,1,0,2,0,0,0,9,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
GCF_000734895.2,Calothrix sp. 336/3,Calothrix_sp__336_3,Finland: Enajarvi,water,6420126,filament,temperate,62,33,3,0,3,5,0,0,13,10,0,0,0,0,1,1,0,3,0,1,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
GCF_000737535.1,Synechococcus sp. KORDI-100,Synechococcus_sp__KORDI_100,Pacific Ocean,seawater,2789000,single,temperate,8,0,0,0,1,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCF_000737575.1,Synechococcus sp. KORDI-49,Synechococcus_sp__KORDI_49,Pacific Ocean: East China Sea,seawater,2585813,single,temperate,7,0,0,0,1,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCF_000737595.1,Synechococcus sp. KORDI-52,Synechococcus_sp__KORDI_52,Pacific Ocean: East China Sea,seawater,2572069,single,temperate,8,0,0,0,1,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCF_000760695.4,Tolypothrix bouteillei VB521301,Tolypothrix_bouteillei_VB521301,India: Shantiniketan; West Bengal,stone monuments,9949079,filament,temperate,140,98,2,1,3,9,0,0,29,24,2,0,0,4,4,1,0,3,0,3,11,1,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12
GCF_001040845.1,Synechococcus sp. WH 8020,Synechococcus_sp__WH_8020,Atlantic Ocean,water sample,2661166,single,temperate,9,1,0,0,1,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_001264245.1,Microcystis panniformis FACHB-1757,Microcystis_panniformis_FACHB_1757,China: Wuxi,Lake Taihu water,5686839,single,temperate,11,5,0,1,2,1,0,0,8,4,0,0,0,0,0,0,0,1,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCF_001402795.1,Pseudanabaena sp. 'Roaring Creek',Pseudanabaena_sp___Roaring_Creek_,USA: PA; Roaring Creek Reservoir,freshwater,5477812,filament,temperate,49,47,7,4,2,5,0,0,14,8,0,0,0,0,1,0,0,2,0,6,7,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
GCF_001586785.1,Sphaerospermopsis aphanizomenoides BCCUSP55,Sphaerospermopsis_aphanizomenoides_BCCUSP55,Brazil: Jucazinho water supply reservoir; PE,water,6096273,filament,temperate,55,43,4,1,2,5,0,0,15,10,1,0,0,1,2,0,0,2,0,6,5,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
GCA_001593825.2,Aphanizomenon flos-aquae UKL13-PB,Aphanizomenon_flos_aquae_UKL13_PB,USA: Upper Klamath Lake; OR,UKL13 co-culture; a single cyanobacterial colony from a depth-integrated water sample grown as a non-axenic culture,4484012,filament,temperate,10,10,1,1,2,2,0,0,8,7,0,0,0,1,0,0,0,2,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
GCF_001623485.1,Nodularia spumigena CENA596,Nodularia_spumigena_CENA596,Brazil: Praia do Cassino; Rio Grande; Rio Grande do Sul,shrimp pond,5189679,filament,temperate,28,14,1,1,2,3,0,0,11,6,0,0,0,3,0,1,0,2,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
GCF_001650195.1,Phormidesmis priestleyi BC1401,Phormidesmis_priestleyi_BC1401,Greenland: West Greenland Ice Sheet,Cryoconite,5551896,filament,cold-freezing,47,18,2,3,1,2,0,0,16,13,1,0,0,0,1,1,0,1,0,2,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
GCA_001672075.1,Anabaena sp. CRKS33,Anabaena_sp__CRKS33,USA: Cheney Reservoir; WA,lake water,4950014,filament,temperate,11,6,0,0,1,1,0,0,8,4,0,0,0,1,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
GCA_001672085.1,Anabaena sp. AL93,Anabaena_sp__AL93,USA: American Lake; WA,non-pure culture,5662506,filament,temperate,17,4,1,0,1,3,0,0,9,6,0,0,0,1,0,0,0,3,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
GCA_001672095.1,Aphanizomenon flos-aquae MDT14a,Aphanizomenon_flos_aquae_MDT14a,USA: Upper Klamath Lake; OR,lake water,4632587,filament,temperate,11,8,1,1,2,2,0,0,7,6,0,0,0,1,0,0,0,2,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
GCA_001672155.1,Anabaena sp. WA113,Anabaena_sp__WA113,USA: Cranberry Lake; WA,lake water,4695440,filament,temperate,11,9,1,1,2,2,0,0,9,8,0,0,0,1,0,0,0,2,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
GCA_001672165.1,Aphanizomenon flos-aquae LD13,Aphanizomenon_flos_aquae_LD13,USA: Upper Klamath Lake; OR,non-pure culture,4439448,filament,temperate,11,8,1,1,2,2,0,0,8,6,0,0,0,1,0,0,0,2,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
GCA_001698425.1,Oscillatoriales cyanobacterium USR001,Oscillatoriales_cyanobacterium_USR001,Singapore,co-culture originated from a tropical freshwater lake,5872787,filament,temperate,69,51,6,2,0,3,0,0,9,6,2,0,0,0,2,0,0,3,0,5,4,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
GCA_001698435.1,Nostoc sp. MBR 210,Nostoc_sp__MBR_210,Singapore,co-culture originated from a tropical freshwater lake,6931753,filament,temperate,92,56,3,0,2,4,0,0,17,12,0,0,0,0,2,1,0,2,0,1,4,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
GCA_001698445.1,Limnothrix sp. P13C2,Limnothrix_sp__P13C2,Singapore,co-culture originated from a tropical freshwater lake,4583806,filament,temperate,68,26,2,1,1,3,0,0,12,4,2,0,0,1,1,0,0,2,0,2,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
GCF_001712795.1,Nostoc sp. KVJ20,Nostoc_sp__KVJ20,Norway: Troms; Kvaloya island,Symbiotic tissue of Blasia pusilla L.,9184886,filament,cold-freezing,103,60,2,1,2,5,0,0,28,22,0,0,0,2,1,1,0,2,0,1,3,1,0,27,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
GCF_001747005.1,Cyanobacterium sp. IPPAS B-1200,Cyanobacterium_sp__IPPAS_B_1200,Kazakhstan: Lake Balkhash,lake water,3410249,NA,temperate,18,15,1,1,2,3,0,0,8,4,0,0,0,0,0,0,0,1,0,1,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
GCF_001767235.1,Moorena producens PAL-8-15-08-1,Moorena_producens_PAL_8_15_08_1,Pacific Ocean: Palmyra Atoll,shallow tropical waters; normally from coral reef substrate,9708656,filament,temperate,42,46,1,1,0,8,0,0,14,8,3,0,0,0,2,0,0,2,0,3,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
GCF_001858025.1,Trichormus sp. NMC-1,Trichormus_sp__NMC_1,China: Namucuo Lake; Namucuo County; Tibet,saltwater lake,5938148,filament,cold-freezing,44,26,2,2,2,3,0,0,12,12,0,0,0,1,0,0,0,3,0,4,4,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
GCA_001873365.1,Oscillatoriales cyanobacterium CG2_30_40_61,Oscillatoriales_cyanobacterium_CG2_30_40_61,USA: Crystal Geyser near Green River; Utah,groundwater filtered through a 3.0 um filter,4818830,filament,temperate,47,34,3,2,2,2,0,0,16,5,2,0,0,0,2,0,0,3,0,7,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
GCA_001873375.1,Oscillatoriales cyanobacterium CG2_30_44_21,Oscillatoriales_cyanobacterium_CG2_30_44_21,USA: Crystal Geyser near Green River; Utah,groundwater filtered through a 3.0 um filter,3495288,filament,temperate,17,19,4,3,1,3,0,0,8,3,0,0,0,0,0,0,0,1,0,4,4,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
GCF_001885215.1,Synechococcus sp. SynAce01,Synechococcus_sp__SynAce01,Antarctica: Ace Lake; Vestfold Hills,water,2750634,single,cold-freezing,8,1,0,0,1,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCF_001890765.1,Spirulina major PCC 6313,Spirulina_major_PCC_6313,USA: Berkeley; California,brackish water,5050153,filament,temperate,66,23,2,1,1,4,0,0,17,8,2,0,0,1,2,0,0,2,0,3,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
GCA_001890975.1,Roseofilum reptotaenium AO1-A,Roseofilum_reptotaenium_AO1_A,Australia: Central Great Barrier Reef,non-axenic enrichment culture inoculated from diseased coral,5826181,filament,temperate,81,70,2,2,1,3,0,0,13,5,3,0,0,1,2,0,0,2,0,6,7,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
GCF_001904645.1,Fischerella major NIES-592,Fischerella_major_NIES_592,Japan: Hagiwara; Tomiji,water,5639496,filament,temperate,51,28,1,1,3,4,0,0,19,8,0,0,0,0,1,1,0,2,0,1,2,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
GCA_001913845.2,Limnothrix sp. CACIAM 69d,Limnothrix_sp__CACIAM_69d,Brazil: Tucurui,freshwater lake,4572073,filament,temperate,67,28,2,1,1,3,0,0,12,4,1,0,0,1,1,0,0,2,0,2,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
GCF_001989415.1,Prochlorococcus sp. RS50,Prochlorococcus_sp__RS50,Saudi Arabia: central Red Sea,Surface water sample from the central Red Sea,1656133,single,temperate,4,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCF_001989435.1,Prochlorococcus sp. RS01,Prochlorococcus_sp__RS01,Saudi Arabia: central Red Sea,Surface water sample from the central Red Sea,1657699,single,temperate,4,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCF_001989455.1,Prochlorococcus sp. RS04,Prochlorococcus_sp__RS04,Saudi Arabia: central Red Sea,Surface water sample from the central Red Sea,1656322,single,temperate,4,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCF_002095975.1,Microcystis aeruginosa PCC 7806SL,Microcystis_aeruginosa_PCC_7806SL,Netherlands,freshwater,5139339,single,temperate,13,5,0,1,2,1,0,0,9,5,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_002148405.1,Alkalinema sp. CACIAM 70d,Alkalinema_sp__CACIAM_70d,Brazil: Tucurui,non-axenic culture of unicellular cyanobacterium started from freshwater lake,6461029,filament,temperate,76,44,4,2,3,3,0,0,20,12,1,0,0,0,0,1,0,2,0,1,2,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
GCF_002155185.1,Nostoc sp. RF31YmG,Nostoc_sp__RF31YmG,Mexico: Rayundo Flores; Tonala; Chiapas,coralloid roots,9205737,filament,temperate,99,86,4,1,3,7,0,0,21,22,0,0,0,2,2,1,1,3,0,2,2,1,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9
GCF_002251945.1,Pseudanabaena sp. SR411,Pseudanabaena_sp__SR411,USA: Union County; Susquehanna River,water,5780027,filament,temperate,40,50,8,5,1,5,0,0,15,10,0,0,0,0,0,0,0,2,0,5,4,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11
GCF_002252625.1,Synechococcus sp. 1G10,Synechococcus_sp__1G10,Argentina: Nahuel Huapia,water,3340220,single,temperate,6,1,0,0,3,0,0,0,6,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
GCF_002252635.1,Synechococcus sp. MW101C3,Synechococcus_sp__MW101C3,Austria: Lake Mondsee,water,3029138,single,temperate,10,3,2,0,1,0,0,0,11,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCF_002252665.1,Synechococcus sp. 8F6,Synechococcus_sp__8F6,Mexico: Lake Alchichicha,water,2510697,single,temperate,5,0,0,0,2,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_002252675.1,Synechococcus sp. BO 8801,Synechococcus_sp__BO_8801,Switzerland: Lake Constance,water,3271183,single,temperate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCF_002252705.1,Vulcanococcus limneticus LL,Vulcanococcus_limneticus_LL,Italy: Lake Albano,water,3548884,single,temperate,12,2,1,1,1,0,0,0,9,4,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_002282945.1,Microcystis aeruginosa LE3,Microcystis_aeruginosa_LE3,USA: OH; Lake Erie; Western Basin,enrichment culture from freshwater algal bloom,4556918,single,temperate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCF_002289455.1,Calothrix elsteri CCALA 953,Calothrix_elsteri_CCALA_953,Antarctica: James Ross Island; Black Lake,Microbial mat BL2,7006470,filament,cold-freezing,45,29,1,0,4,4,0,0,10,12,0,0,0,0,0,1,0,2,0,1,2,0,0,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9
GCA_002340255.1,Cyanobacteria bacterium UBA2566,Cyanobacteria_bacterium_UBA2566,Belize: Carrie Bow Cay Field Station,coral mucus,5339925,NA,temperate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCF_002356215.1,Synechococcus sp. NIES-970,Synechococcus_sp__NIES_970,Japan:Kagoshima; Tokunoshima Island; Rikuhama beach,coastal sea water,3123859,single,temperate,21,14,1,2,2,4,0,0,10,5,0,0,0,1,0,0,0,1,0,3,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
GCA_002429095.1,Cyanobacteria bacterium UBA6050,Cyanobacteria_bacterium_UBA6050,USA: Looe Key National Marine Sanctuary; Florida,coral mucus,5400820,NA,temperate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_002429135.1,Cyanobacteria bacterium UBA6047,Cyanobacteria_bacterium_UBA6047,Guam: Luminao Reef Flat,coral mucus,5725904,NA,temperate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCF_002721235.1,Synechococcus sp. BDU 130192,Synechococcus_sp__BDU_130192,India: Bay of Bengal,abandoned salt pan,3257113,single,temperate,18,11,1,2,1,3,0,0,9,5,0,0,0,1,0,0,0,1,0,3,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
GCA_002796835.1,Elainella saxicola E1,Elainella_saxicola_E1,Viet Nam,unialgal culture inoculated from water sample from a temporary water body in a tropical forest; contains one cyanobacterium and few bacterial species (which were removed by filtration),8702141,filament,temperate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCF_002812945.1,Prochlorococcus marinus str. XMU1401,Prochlorococcus_marinus_str__XMU1401,Pacific Ocean,oceanic epipelagic zone biome,1614308,single,temperate,4,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCF_002896875.1,Nostoc sp. CENA543,Nostoc_sp__CENA543,Brazil,Brazilian saline-alkaline lake,7207640,filament,temperate,89,53,4,0,2,3,0,0,19,13,0,0,0,0,0,1,0,3,0,2,4,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
GCF_002914585.1,Pseudanabaena sp. BC1403,Pseudanabaena_sp__BC1403,Greenland: 15km from Russell Glacier,freshwater,5509651,filament,cold-freezing,53,69,7,5,1,4,0,0,14,10,0,0,0,0,0,0,0,2,0,7,7,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8
GCF_003003695.1,Phormidesmis priestleyi ULC007,Phormidesmis_priestleyi_ULC007,Antarctica: Larsemann Hills; Lake 52,freshwater lake,5714281,filament,cold-freezing,53,26,1,2,1,3,0,0,17,13,2,0,0,0,1,1,0,1,0,0,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
GCA_003003725.1,filamentous cyanobacterium Phorm 6,filamentous_cyanobacterium_Phorm_6,Canada: Quttinirpaaq Lagoon,freshwater lake,6644697,filament,cold-freezing,85,46,3,3,3,2,0,0,14,9,11,0,0,0,2,0,1,2,0,4,2,2,0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
GCF_003003775.1,Merismopedia glauca CCAP 1448/3,Merismopedia_glauca_CCAP_1448_3,Norway: freshwater in Svalbard,freshwater,5204926,NA,cold-freezing,37,18,1,2,0,5,0,0,13,10,0,0,0,0,0,0,1,1,0,10,2,0,0,21,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6
GCF_003003795.1,Stenomitos frigidus ULC18,Stenomitos_frigidus_ULC18,Antarctica: Larsemann Hills; Lake 53,freshwater lake,6984011,filament,cold-freezing,75,40,4,1,2,3,0,0,21,16,0,0,0,0,0,1,0,2,0,2,3,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
GCF_003003995.1,Pleurocapsa sp. CCALA 161,Pleurocapsa_sp__CCALA_161,Slovakia: lake in Vysoke Tatry,freshwater lake,5365828,single,cold-freezing,46,15,0,1,3,7,0,0,19,8,0,0,0,1,0,1,0,2,0,4,5,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9
GCF_003011125.1,Synechococcus lacustris str. Tous,Synechococcus_lacustris_str__Tous,Spain: Tous,freshwater reservoir,2668880,single,temperate,5,0,0,0,2,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCF_003112475.1,Microcystis sp. 0824,Microcystis_sp__0824,Japan: Akita; Lake Hachiro,lake water,4103170,single,temperate,12,5,0,2,2,1,0,0,8,5,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_003149585.1,Synechococcus sp. XM-24,Synechococcus_sp__XM_24,China: Xiamen,Synechococcus culture from coastal marine water,2376968,single,temperate,8,0,0,0,2,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
